Products,status,,,,,,Products,status
"2-bromo-2-nitropropane-1,3-diol",avoid,1,,,,,retin a,avoid
"5-bromo-5-nitro-1,3-dioxane",avoid,1,,,,,retinoic acid,avoid
accutane,avoid,1,,,,,retinoids,avoid
adapalene,avoid,1,,,,,retinol,avoid
avobenzone,risky,1,,,,,retinyl acetate,avoid
bronopol,avoid,1,,,,,retinyl palmitate,avoid
dehp,avoid,1,,,,,hydroquinone,avoid
diazolidinyl urea,avoid,1,,,,,glycolic acid,risky
dibutyl phthalate,avoid,1,,,,,salicylic acid,risky
dmdm hydantoin,avoid,1,,,,,hydroquinone,avoid
formaldehyde,avoid,1,,,,,phthalates,avoid
glycolic acid,risky,1,,,,,oxybenzone,risky
hydroquinone,avoid,1,,,,,octinoxate,risky
hydroxymethylglycinate,avoid,1,,,,,adapalene,avoid
imidazolidinyl urea,avoid,1,,,,,avobenzone,risky
lactic acid,risky,1,,,,,dehp,avoid
lead,avoid,1,,,,,dibutyl phthalate,avoid
mercury,avoid,1,,,,,"2-bromo-2-nitropropane-1,3-diol",avoid
octinoxate,risky,1,,,,,bronopol,avoid
oxybenzone,risky,1,,,,,dmdm hydantoin,avoid
paraben,risky,1,,,,,formaldehyde,avoid
phenoxyethanol,risky,1,,,,,hydroxymethylglycinate,avoid
phthalates,avoid,1,,,,,imidazolidinyl urea,avoid
quaternium-15,avoid,1,,,,,quaternium-15,avoid
retin a,avoid,1,,,,,"5-bromo-5-nitro-1,3-dioxane",avoid
retinoic acid,avoid,1,,,,,mercury,avoid
retinoids,avoid,1,,,,,lead,avoid
retinol,avoid,1,,,,,accutane,avoid
retinyl acetate,avoid,1,,,,,lactic acid,risky
retinyl palmitate,avoid,1,,,,,paraben,risky
salicylic acid,risky,1,,,,,toluene,avoid
toluene,avoid,1,,,,,tretinoin,avoid
tretinoin,avoid,1,,,,,phenoxyethanol,risky
aniseed,risky,1,,,,,aniseed,risky
sage,risky,1,,,,,sage,risky
basil,risky,1,,,,,basil,risky
