epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1284,1.5826,3.06525,2.82295,1.42625,0,0.52514,0.17172,0.45848,0.22578,0.6487,0.21212,0.48127,0.17497,1.50642,2.70231,3.28731,1.45436,0,0.000656566,0.000656566,0.000656566
2,60.4005,1.47138,2.26489,1.98793,1.33093,0,0.30437,0.60606,0.26696,0.10201,0.34133,0.61768,0.29218,0.11309,1.85741,2.63012,3.17615,1.98569,0,0.00127957,0.00127957,0.00127957
3,77.2328,1.50813,2.27305,1.69504,1.33232,0,0.72222,0.77778,0.77214,0.39571,0.79483,0.82828,0.85685,0.4025,1.68254,2.17806,1.64506,1.565,0,0.00185857,0.00185857,0.00185857
4,94.1902,1.47705,2.19543,1.477,1.31978,0,0.70588,0.75153,0.75264,0.38702,0.72596,0.76768,0.79474,0.38545,1.60708,2.20136,1.75009,1.57505,0,0.001802,0.001802,0.001802
5,110.992,1.44561,2.0877,1.35218,1.29311,0,0.66884,0.71406,0.74449,0.38111,0.7022,0.73737,0.77676,0.34835,1.51134,2.36989,1.36716,1.45024,0,0.001736,0.001736,0.001736
6,127.841,1.39738,2.06576,1.23503,1.27903,0,0.87491,0.85859,0.91007,0.48362,0.91277,0.84562,0.91761,0.43264,1.51746,2.19026,1.34573,1.44811,0,0.00167,0.00167,0.00167
7,144.738,1.35068,2.01637,1.19167,1.25699,0,0.81486,0.85859,0.87023,0.50469,0.90841,0.90167,0.95169,0.50387,1.49123,1.91658,1.1301,1.40927,0,0.001604,0.001604,0.001604
8,161.759,1.32541,1.97615,1.09959,1.2604,0,0.88155,0.82692,0.90969,0.55133,0.89292,0.84232,0.91657,0.53368,1.26545,1.84677,1.04981,1.29778,0,0.001538,0.001538,0.001538
9,179.118,1.27505,1.9042,1.04679,1.21016,0,0.74137,0.83838,0.84828,0.51722,0.89116,0.80808,0.8885,0.50142,1.44729,1.85208,1.22634,1.41708,0,0.001472,0.001472,0.001472
10,196.124,1.28004,1.87467,1.00682,1.21749,0,0.83921,0.89629,0.82803,0.46751,0.84751,0.94949,0.89779,0.46298,1.26185,1.96334,1.05935,1.29691,0,0.001406,0.001406,0.001406
11,213.114,1.27647,1.90021,0.99945,1.20259,0,0.77655,0.88889,0.86294,0.51356,0.86447,0.90203,0.91703,0.50107,1.41621,1.88406,1.03435,1.34257,0,0.00134,0.00134,0.00134
12,230.077,1.24578,1.88776,0.9646,1.1927,0,0.81592,0.86869,0.8674,0.52283,0.86338,0.89371,0.92005,0.49794,1.36394,1.83031,0.969,1.3559,0,0.001274,0.001274,0.001274
13,246.973,1.20058,1.82659,0.95851,1.1755,0,0.78888,0.77778,0.82886,0.49716,0.83664,0.81818,0.87411,0.47578,1.58595,1.83057,1.19175,1.56802,0,0.001208,0.001208,0.001208
14,263.634,1.18273,1.82713,0.88506,1.16231,0,0.87567,0.87879,0.90577,0.56818,0.90885,0.90909,0.95787,0.54679,1.37958,1.73123,0.9657,1.35427,0,0.001142,0.001142,0.001142
15,280.384,1.19852,1.8204,0.90749,1.17247,0,0.81403,0.92929,0.90748,0.54081,0.85062,0.94949,0.95371,0.54316,1.50063,1.75069,1.04664,1.38482,0,0.001076,0.001076,0.001076
16,297.12,1.15935,1.81187,0.87397,1.14468,0,0.8614,0.90909,0.93399,0.58616,0.89715,0.92929,0.96654,0.57064,1.29411,1.71109,0.94029,1.30498,0,0.00101,0.00101,0.00101
17,313.712,1.1218,1.72976,0.83865,1.13223,0,0.84899,0.88889,0.84934,0.53074,0.86493,0.90561,0.89867,0.50912,1.31793,1.79233,0.90912,1.31455,0,0.000944,0.000944,0.000944
18,330.429,1.1453,1.76039,0.83035,1.13619,0,0.80948,0.91919,0.87318,0.55773,0.85657,0.93939,0.92631,0.53527,1.17127,1.74497,0.80579,1.26619,0,0.000878,0.000878,0.000878
19,347.025,1.07643,1.71916,0.81884,1.10736,0,0.82154,0.90909,0.86445,0.52068,0.92589,0.90909,0.94672,0.49889,1.4553,1.90494,0.83634,1.38252,0,0.000812,0.000812,0.000812
